CLAIM NO,COMPLAINT,ROUTINE,EMPLOYER NAME,EMPLOYER CITY,ST,ZIP,gender,hispanic,asian,CLAIM AMT,CASE OPEN/RE-OPEN,CLAIM RECEIVED,Valid,Informal Resolution,Bankrupt,Invalid,Fringe Benefits,Independent Agent,Subcontractor,False Claim,Other,CLAIM INVAL OTHER DESCRIPTION,Claim Validity,Employer left State,Employer Cannot be Located,Complainant Cannot be Located,Complainant Dropped Claim,Paid Prior to Investigation,Business is Closed,Other_1,CLAIM UNDETERMINED OTHER DESCRIPTION,VERIFIED CLAIM AMT,CASE CLOSE/RECLOSE DATE,Employer Contested Valid Determination,1st Response Investigation,Formal Investigation,Request Settlement Conference,Request Informal Fact Finding,Request Formal Fact Finding,Wage Order,Informal Conference,Civil Action for Wages/Penalties,Other_2,OTHER DISPOSITION DESCRIPTION,CASE CLOSED for the REPRESENTATIVE,JUDGMENT,DISMISSED,NON-SUITED,JUDGMENT_1,DISMISSED_1,NON-SUITED_1,CIVCOURTDTE FOR WAGES/PENALTY,TOT AMT,WAGE AMT,INTEREST AMT,ATTY FEES,DATE FOR WAGES,WAGES APPEALED,WAGES APPEAL CIRCUIT COURT DATE,ASSESSED,AMT,ATTY FEES_1,ASSESSED DATE,TOTAL CMP AMT,CMP APPEALED,CMP APPEAL CIRCUIT COURT DATE,FINES & COURT COSTS,TOTAL WAGES,TOTAL INTEREST AMT,TOT WAGES & INTEREST,GARNISHED AMT,JUDGMENT WAGE AMT,JUDGEMENT PENALTY AMT,DOCKETED/SENT FOR COLLECTION DATE,ACTION TAKEN,COURT DATE,CONVICTED - DISPOSITION,DISMISSED - DISPOSITION,NOL Prossed,CONFINEMENT,SUSPENSION,BOTH - C&F,JUDGMENT_2,DISMISSED_2,NON-SUITED_2,JUDGMENT_3,DISMISSED_3,NON-SUITED_3
LLVA59828,X,NA,"HEAVEN SENT CHILD CARE, LLC",HENRICO,VA,23231,NA,FALSE,FALSE,"$2,725.00",7-Jul-16,6-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIMANT ALREAD FILED IN COURT AGAINST THE EMPLOYER,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,7-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,7-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59829,X,NA,CHANDLER MANAGEMENT CORPORATION,FREDRICKSBURG,VA,22401,male,FALSE,FALSE,$105.00,12-Jul-16,6-Jul-16,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$105.00,26-Jul-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,26-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$105.00,$0.28,$105.28,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59830,X,NA,MAYE LANDSCAPE SERVICES,WINDSOR,VA,23487,male,FALSE,FALSE,$161.00,7-Jul-16,6-Jul-16,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$149.50,21-Jul-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,21-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$149.50,$0.00,$149.50,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59831,X,NA,PICO WISE,WILMINGTON,DE,19899,male,FALSE,FALSE,$63.57,8-Jul-16,7-Jul-16,NA,NA,NA,X,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,18-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59832,X,NA,MATRIX CABLE,WALTHAM,MA,2453,male,FALSE,FALSE,"$2,259.00",8-Jul-16,6-Jul-16,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,8-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,8-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59833,X,NA,SENIOR HEALTH CARE,RICHMOND,VA,23236,female,FALSE,FALSE,$769.20,13-Jul-16,7-Jul-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,X,NA,NA,NA,$0.00,13-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59834,X,NA,MAIN EVENT PARTYBUSES LLC,RICHMOND,VA,23224,female,FALSE,FALSE,"$1,157.57",11-Jul-16,8-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIMANT HAD A WRITTEN EMPLOYMENT AGREEMENT.,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,11-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59835,X,NA,MINACS GROUP INC,RICHMOND,VA,23220,female,FALSE,FALSE,$0.00,11-Jul-16,7-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIMANT INDICATED SHE HAD A WRITTEN EMPLOYMENT AGREEMENT.,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,11-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59836,X,NA,MORE SOLUTIONS YOUTH & FAMILY SERVICES,MECHANICSVILLE,VA,23111,female,FALSE,FALSE,$519.12,11-Jul-16,8-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIMANT INCLUDED A WRITTEN EMPLOYMENT AGREEMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,11-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59837,X,NA,ROANOKE RESOURCE LLC,ROANOKE,VA,24016,NA,FALSE,FALSE,"$4,655.00",13-Jul-16,8-Jul-16,NA,NA,NA,X,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,13-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59838,X,NA,SONIC DRIVE IN,HAMPTON,VA,23666,male,FALSE,FALSE,"$1,505.25",13-Jul-16,8-Jul-16,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$108.00,22-Aug-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,22-Aug-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$108.00,$0.00,$108.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59839,X,NA,HEAVENLY HELPERS IN-HOME SERVICES,MECHANICSVILLE,VA,23116,female,FALSE,FALSE,$649.00,12-Jul-16,8-Jul-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,X,NA,NA,NA,$0.00,13-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,13-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59840,X,NA,OLD DOMINION UNIVERSITY,NORFOLK,VA,23529,female,FALSE,FALSE,"$9,425.00",11-Jul-16,8-Jul-16,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,11-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,11-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59841,X,NA,BEACH WORLD,VIRGINIA BEACH,VA,23452,female,FALSE,FALSE,$116.00,12-Jul-16,11-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIMANT IS SEEKING OVERTIME,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,12-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59842,X,NA,SLEEP INN & SUITES,CHESAPEAKE,VA,23321,NA,FALSE,FALSE,$108.75,18-Jul-16,11-Jul-16,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$105.00,26-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,26-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$105.00,$0.00,$105.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59843,X,NA,BLUE RIDGE CAFE,RUCKERSVILLE,VA,22968,female,FALSE,FALSE,$0.00,12-Jul-16,11-Jul-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,X,NO CLAIM AMOUNT INCLUDED.,$0.00,12-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,12-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59844,X,NA,PANERA BREAD LLC,SUFFOLK,VA,23434,NA,FALSE,FALSE,$0.00,14-Jul-16,11-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIMANT INDICATED HAVING A WRITTEN EMPLOYMENT AGREEMENT.,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,14-Jul-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59846,X,NA,KIDDIE ACADEMY OF CHARLOTESVILLE,CHARLOTTESVILLE,VA,22901,female,FALSE,FALSE,$973.50,14-Jul-16,11-Jul-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,X,CLAIMANT FILED IN COURT.,$0.00,14-Jul-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59847,X,NA,DDGII INC,VIRGINIA BEACH,VA,23455,male,FALSE,FALSE,$450.00,15-Jul-16,11-Jul-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,$0.00,20-Sep-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,20-Sep-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59848,X,NA,CAR WEB,FREDERICKSBURG,VA,22401,female,FALSE,FALSE,"$4,546.48",14-Jul-16,11-Jul-16,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$228.79,24-Aug-16,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,24-Aug-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$228.79,$0.00,$228.79,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59849,X,NA,RIVERSIDE PAPER SUPPLY,NEWPORT NEWS,VA,23603,male,FALSE,FALSE,$360.94,14-Jul-16,12-Jul-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,X,CLAIMANT HAS NOT YET DEMANDED HIS WAGES.,$0.00,14-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59850,X,NA,"COVENANT SECURITY SOLUTIONS, INC",MCLEAN,VA,22102,female,FALSE,FALSE,"$3,460.54",14-Jul-16,12-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIMANT INDICATED SHE HAD A WRITTEN EMPLOYMENT AGREEMENT.,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,14-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59851,X,NA,APPTECH SOLUTIONS,ROANOKE,VA,24017,male,FALSE,FALSE,"$11,555.64",14-Jul-16,12-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIMANT INCLUDED A WRITTEN EMPLOYMENT AGREEMENT.,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,14-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59852,X,NA,LUCCA ENOTECA,RICHMOND,VA,23219,female,FALSE,FALSE,"$1,087.80",14-Jul-16,12-Jul-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,X,CLAIMANT IS A TIPPED EMPLOYEE.,$0.00,14-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59853,X,NA,FAIRFIELD PSYCHOLOGICAL ASSOCIATES,VIRGINIA BEACH,VA,23462,female,FALSE,FALSE,"$12,000.00",14-Jul-16,12-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIMANT INCLUDED A WRITTEN EMPLOYMENT AGREEMENT.,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,14-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59854,X,NA,BLUE EXPRESS TRUCKING,CHESTERFIELD,VA,23834,male,FALSE,FALSE,"$1,820.00",20-Jul-16,12-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,OVERTIME,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,20-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,20-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59855,X,NA,AUNTIE ANNES,CULPEPER,VA,22701,male,FALSE,FALSE,$229.90,18-Jul-16,12-Jul-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,X,NA,NA,NA,$0.00,28-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59856,X,NA,AKSEIZER DESIGN GROUP,ALEXANDRIA,VA,22314,NA,FALSE,FALSE,"$1,139.53",14-Jul-16,12-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIMANT INCLUDED A WRITTEN EMPLOYMENT AGREEMENT.,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,14-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59857,X,NA,MID ATLANTIC PRINTERS,ALTAVISTA,VA,24517,female,FALSE,FALSE,"$1,120.00",14-Jul-16,12-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIMANT PERFORMED THE WORK IN NORTH CAROLINA.,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,14-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59858,X,NA,FAREVA,RICHMOND,VA,23231,female,TRUE,FALSE,$223.21,14-Jul-16,12-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIMANT INDICATED SHE HAD A WRITTEN EMPLOYMENT AGREEMENT.,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,14-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,14-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59862,X,NA,KINGDOM DOMINION LLC,CHESTERFIELD,VA,23225,female,FALSE,FALSE,$600.00,20-Jul-16,14-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,PAY DATE HAS NOT YET PASSED,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,22-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59863,X,NA,C.W. & SON PAVING & HAULING INC.,RICHMOND,VA,23234,male,FALSE,FALSE,$28.50,15-Jul-16,14-Jul-16,NA,NA,NA,X,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,15-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59864,X,NA,GRAVITY HILL LLC,RICHMOND,VA,23230,female,FALSE,FALSE,$327.18,18-Jul-16,14-Jul-16,NA,NA,NA,X,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,22-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,22-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59865,X,NA,COUCOON SIGNATURE SALON & SPA,VIRGINIA BEACH,VA,23451,female,FALSE,TRUE,"$2,456.24",15-Jul-16,14-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIM INVOLVES TIPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,15-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59866,X,NA,COUCOON SIGNATURE SALON & SPA,VIRGINIA BEACH,VA,23462,female,FALSE,FALSE,"$2,050.40",15-Jul-16,14-Jul-16,NA,NA,NA,X,NA,NA,NA,NA,X,CLAIM INVOLVES TIPS AND OVERTIME.,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,15-Jul-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-Jul-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LLVA59867,X,NA,INTERIM HEALTHCARE,CHARLOTTESVILLE,VA,22911,female,FALSE,FALSE,$136.50,20-Jul-16,14-Jul-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,X,NA,NA,NA,NA,NA,$0.00,15-Aug-16,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,15-Aug-16,NA,NA,NA,NA,NA,NA,NA,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,$0.00,$0.00,NA,$0.00,NA,NA,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
